Source: ACS 1-Year Estimates-Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: Northeast Region, Midwest Region, South Region, West Region"
"","Sex (SEX)","",""
"Educational attainment recode (SCHL_RC1)","Total","Male","Female"
" -> Total","328239523","161594272","166645251"
" -> Total -> Total Northeast Region","55982803","27315755","28667048"
" -> Total -> Total Northeast Region -> Total White alone","40395875","19787111","20608764"
" -> Total -> Total Northeast Region -> Total White alone -> Total 65+","8138221","3590771","4547450"
"No high school diploma","901555","392045","509510"
"High school diploma","2811123","1076541","1734582"
"Some college","1252144","562964","689180"
"Associate degree","550223","227156","323067"
"Bachelor's degree","1307403","652575","654828"
"Master's degree","918860","412957","505903"
"Professional degree","240362","165250","75112"
"Doctorate","156551","101283","55268"
" -> Total -> Total Northeast Region -> Total White alone -> Total Under 18","7559141","3884661","3674480"
"No high school diploma","7523155","3866176","3656979"
"High school diploma","27151","14799","12352"
"Some college","8700","3639","5061"
"Associate degree","135","47","88"
"Bachelor's degree","0","0","0"
"Master's degree","0","0","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total Northeast Region -> Total White alone -> Total 18-24","3479081","1757919","1721162"
"No high school diploma","319033","184730","134303"
"High school diploma","1049019","591144","457875"
"Some college","1292353","621223","671130"
"Associate degree","179270","84521","94749"
"Bachelor's degree","588153","259700","328453"
"Master's degree","43719","14354","29365"
"Professional degree","4040","1368","2672"
"Doctorate","3494","879","2615"
" -> Total -> Total Northeast Region -> Total White alone -> Total 25-34","5150554","2610275","2540279"
"No high school diploma","273271","152688","120583"
"High school diploma","1077944","645266","432678"
"Some college","815560","439193","376367"
"Associate degree","428562","212214","216348"
"Bachelor's degree","1710264","841103","869161"
"Master's degree","640710","225271","415439"
"Professional degree","127508","60203","67305"
"Doctorate","76735","34337","42398"
" -> Total -> Total Northeast Region -> Total White alone -> Total 35-44","4726801","2367099","2359702"
"No high school diploma","292027","170627","121400"
"High school diploma","1035040","606085","428955"
"Some college","717181","381407","335774"
"Associate degree","430684","195835","234849"
"Bachelor's degree","1267911","610323","657588"
"Master's degree","730206","278363","451843"
"Professional degree","147239","73805","73434"
"Doctorate","106513","50654","55859"
" -> Total -> Total Northeast Region -> Total White alone -> Total 45-54","5257422","2600089","2657333"
"No high school diploma","337858","193355","144503"
"High school diploma","1421304","781632","639672"
"Some college","812987","405208","407779"
"Associate degree","502321","205865","296456"
"Bachelor's degree","1257972","604611","653361"
"Master's degree","673164","275234","397930"
"Professional degree","162184","86388","75796"
"Doctorate","89632","47796","41836"
" -> Total -> Total Northeast Region -> Total White alone -> Total 55-64","6084655","2976297","3108358"
"No high school diploma","411012","222128","188884"
"High school diploma","1932305","995163","937142"
"Some college","980890","484581","496309"
